id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
20,RNN1,3200,64,10,128,True,sgd,6.1888,0.0931,60,238.8468,1,100
9,RNN4,3200,64,10,128,True,adam_fast,6.2334,0.0931,20,242.5269,1,100
18,RNN3,3200,64,10,128,True,sgd,6.1908,0.0931,42,244.7331,1,100
24,RNN1,3200,64,10,256,True,sgd,6.1904,0.0931,60,243.0868,1,100
22,RNN3,3200,64,10,256,True,sgd,6.1932,0.0931,42,240.5557,1,100
41,RNN4,3200,64,10,128,True,rmsprop_fast,7.6686,0.0931,15,249.1551,1,100
45,RNN4,3200,128,12,256,True,rmsprop_fast,7.6649,0.0931,7,126.4482,2,100
37,RNN4,3200,128,12,128,True,rmsprop_fast,7.6853,0.0931,8,136.2357,2,100
45,RNN4,3200,128,12,256,True,rmsprop_fast,7.6649,0.0931,7,126.4482,3,100
41,RNN4,3200,128,8,256,True,rmsprop_fast,10.1514,0.0928,7,122.4906,2,100
41,RNN4,3200,128,8,256,True,rmsprop_fast,10.1514,0.0928,7,122.4906,3,100
5,RNN4,3083,256,14,256,True,adam_fast,6.1711,0.0913,35,423.7902,7,300
33,RNN4,3200,128,8,128,True,rmsprop_fast,8.3607,0.09,8,131.7586,2,100
33,RNN4,3200,128,8,128,True,rmsprop_fast,8.3607,0.09,8,131.7586,3,100
6,RNN3,3083,256,14,256,True,adam_fast,7.1053,0.0867,71,420.5562,7,300
4,RNN3,3000,256,10,256,True,adam_fast,7.2093,0.0855,64,301.0585,5,200
7,RNN3,3000,256,12,256,True,adam_fast,7.4077,0.0846,89,424.0025,7,300
44,RNN1,3200,64,10,128,True,rmsprop_fast,9.2824,0.0687,60,213.2049,1,100
48,RNN1,3200,128,12,256,True,rmsprop_fast,18.0493,0.0488,41,123.3696,3,100
48,RNN1,3200,128,12,256,True,rmsprop_fast,18.0493,0.0488,41,123.3696,2,100
48,RNN1,3200,64,10,256,True,rmsprop_fast,18.0013,0.0469,60,167.5356,1,100
44,RNN1,3200,128,8,256,True,rmsprop_fast,17.1449,0.044,42,122.8412,2,100
44,RNN1,3200,128,8,256,True,rmsprop_fast,17.1449,0.044,42,122.8412,3,100
36,RNN1,3200,128,8,128,True,rmsprop_fast,15.0231,0.0402,38,121.4744,3,100
36,RNN1,3200,128,8,128,True,rmsprop_fast,15.0231,0.0402,38,121.4744,2,100
40,RNN1,3200,128,12,128,True,rmsprop_fast,16.2697,0.0391,41,121.2359,2,100
40,RNN1,3200,128,12,128,True,rmsprop_fast,16.2697,0.0391,41,121.2359,3,100
43,RNN2,3200,128,8,256,True,rmsprop_fast,33.1307,0.0334,22,125.1863,3,100
43,RNN2,3200,128,8,256,True,rmsprop_fast,33.1307,0.0334,22,125.1863,2,100
47,RNN2,3200,64,10,256,True,rmsprop_fast,67.0053,0.0316,44,243.8567,1,100
35,RNN2,3200,128,8,128,True,rmsprop_fast,26.9073,0.0315,26,120.7237,2,100
35,RNN2,3200,128,8,128,True,rmsprop_fast,26.9073,0.0315,26,120.7237,3,100
43,RNN2,3200,64,10,128,True,rmsprop_fast,61.8909,0.0291,50,242.4051,1,100
47,RNN2,3200,128,12,256,True,rmsprop_fast,47.8705,0.0289,19,122.9447,3,100
47,RNN2,3200,128,12,256,True,rmsprop_fast,47.8705,0.0289,19,122.9447,2,100
46,RNN3,3200,128,12,256,True,rmsprop_fast,48.7073,0.0275,29,121.7932,3,100
46,RNN3,3200,128,12,256,True,rmsprop_fast,48.7073,0.0275,29,121.7932,2,100
46,RNN3,3200,64,10,256,True,rmsprop_fast,56.3345,0.0268,60,240.794,1,100
39,RNN2,3200,128,12,128,True,rmsprop_fast,46.7613,0.0263,24,120.1217,3,100
39,RNN2,3200,128,12,128,True,rmsprop_fast,46.7613,0.0263,24,120.1217,2,100
42,RNN3,3200,128,8,256,True,rmsprop_fast,47.3522,0.0257,34,121.7104,3,100
42,RNN3,3200,128,8,256,True,rmsprop_fast,47.3522,0.0257,34,121.7104,2,100
38,RNN3,3200,128,12,128,True,rmsprop_fast,31.6488,0.025,30,121.2764,2,100
38,RNN3,3200,128,12,128,True,rmsprop_fast,31.6488,0.025,30,121.2764,3,100
34,RNN3,3200,128,8,128,True,rmsprop_fast,33.607,0.0235,32,120.0658,2,100
34,RNN3,3200,128,8,128,True,rmsprop_fast,33.607,0.0235,32,120.0658,3,100
42,RNN3,3200,64,10,128,True,rmsprop_fast,31.5293,0.0228,50,244.2396,1,100
